Address,Suffix,Street,Side,Site,X-Coord,Y-Coord,Species,DBH,Condition,Longitude,Latitude
6,,ABERDEEN RD,Front,1,760669.319999999948777,2968011.799999999813735,linden: littleleaf,11,Fair,-71.113150,42.391726
9,,ABERDEEN RD,Front,1,760653.989999999990687,2968065.029999999795109,linden: littleleaf,12,Fair,-71.113205,42.391872
27,,ABERDEEN RD,Side,1,760597.780000000027940,2968111.870000000111759,linden: littleleaf,26,Fair,-71.113413,42.392001
30,,ABERDEEN RD,Front,1,760576.060000000055879,2968178.720000000204891,linden: littleleaf,25,Fair,-71.113492,42.392185
31,,ABERDEEN RD,Front,1,760615.660000000032596,2968188.520000000018626,linden: littleleaf,13,Good,-71.113345,42.392211
7,,ADAMS ST,Front,1,763960.619999999995343,2968665.879999999888241,linden: littleleaf,32,Fair,-71.100955,42.393479
13,,ADAMS ST,Front,1,763972.630000000004657,2968693.919999999925494,linden: American,15,Poor,-71.100910,42.393556
15,,ADAMS ST,Front,1,763997.459999999962747,2968747.580000000074506,maple: Norway,8,Fair,-71.100817,42.393703
16,,ADAMS ST,Front,1,763979.040000000037253,2968772.399999999906868,mountainash: European,7,Poor,-71.100885,42.393771
17,X,ADAMS ST,Front,1,764024.689999999944121,2968802.040000000037253,maple: Norway,20,Poor,-71.100715,42.393852
17,X,ADAMS ST,Front,2,764047.910000000032596,2968856.500000000000000,maple: silver,21,Poor,-71.100628,42.394001
27,,ADAMS ST,Front,1,764067.939999999944121,2968893.339999999850988,maple: Norway,4,Poor,-71.100553,42.394102
30,,ADAMS ST,Front,1,764069.540000000037253,2968962.220000000204891,ash: green,9,Fair,-71.100546,42.394291
35,,ADAMS ST,Front,1,764103.979999999981374,2968964.620000000111759,serviceberry: downy,3,Poor,-71.100419,42.394297
39,,ADAMS ST,Front,1,764136.010000000009313,2969027.890000000130385,serviceberry: downy,5,Fair,-71.100299,42.394470
40,,ADAMS ST,Front,1,764107.180000000051223,2969036.700000000186265,oak: pin,27,Fair,-71.100406,42.394495
40,,ADAMS ST,Front,2,764086.359999999986030,2968991.850000000093132,ash: green,7,Fair,-71.100483,42.394372
43,,ADAMS ST,Front,1,764157.640000000013970,2969073.540000000037253,serviceberry: downy,5,Fair,-71.100218,42.394595
