Facility,Facility Name,Site,X-Coord,Y-Coord,Inventory Date,Change Date,Last Changed By,UniqueID,Site ID,Species,DBH,Trunks,Condition,Cavity Present,Weak Fork,Percentage of Dead Wood,Size of Existing Defect,Hazard Rating,Probability of Failure,Target Impact,Maintenance,Clean,Raise,Reduce,Other,Further Inspection,Consult,Utilities Present,Plant Location,Area,Staff,Location Value,Ground Maintenance
BUILDING,ARGENZIANO SCHOOL,001,764286.74,2963353.06,6/20/2009,6/20/2009,Administrator,9940,11073,Gleditsia triacanthos inermis,3,1,Poor,Yes,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,002,764289.13,2963376.56,6/20/2009,6/20/2009,Administrator,9941,11077,Gleditsia triacanthos inermis,3,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,003,764295.1,2963422.37,6/20/2009,6/20/2009,Administrator,9942,11105,Gleditsia triacanthos inermis,3,1,Fair,Yes,No,0 - 25,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,004,764292.56,2963453.23,6/20/2009,6/20/2009,Administrator,9943,11045,Ulmus americana,11,3,Fair,Yes,No,None,4 to 20,6,Low,Frequent,Maintain,No,No,Yes,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,005,764350.81,2963409.94,6/20/2009,6/20/2009,Administrator,9944,11106,Prunus serrulata,3,1,Poor,Yes,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,006,764350.81,2963400.32,6/20/2009,6/20/2009,Administrator,9945,11108,Prunus serrulata,3,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,007,764357.76,2963395.51,6/20/2009,6/20/2009,Administrator,9946,11109,Prunus serrulata,3,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,008,764310.2,2963337.79,6/20/2009,6/20/2009,Administrator,9947,10453,Gleditsia triacanthos inermis,2,1,Good,No,No,0 - 25,1 to 4,6,Moderate,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,009,764358.3,2963326.56,6/20/2009,6/20/2009,Administrator,9948,11112,Gleditsia triacanthos inermis,3,1,Fair,Yes,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No
BUILDING,ARGENZIANO SCHOOL,010,764398.38,2963328.7,6/20/2009,6/20/2009,Administrator,9949,11116,Gleditsia triacanthos inermis,3,1,Fair,No,No,0 - 25,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No
