Species,DBH,Trunks,Condition,Cavity Present,Weak Fork,Percentage of Dead Wood,Size of Existing Defect,Hazard Rating,Probability of Failure,Target Impact,Maintenance,Clean,Raise,Reduce,Other,Further Inspection,Consult,Utilities Present,Plant Location,Area,Staff,Location Value,Ground Maintenance,Address,On Street,From Street,To Street,X-Coord,Y-Coord,Inventory Date,Change Date,Last Changed By,UniqueID,Site ID
Acer campestre,2,1,Poor,No,No,26 - 50,1 to 4,4,Low,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,No,Tree Pit or Planter,3,RG,Good,No,"53 COLUMBUS AVE Side  1",PROSPECT HILL PARKWAY,MUNROE ST,COLUMBUS AVE,765859.66,2964292.04,5/19/2009,11/14/2009,Brad Arndt,4778,1123
Acer campestre,3,1,Fair,No,No,0 - 25,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"35 CENTRAL ST Front  1",CENTRAL ST,SOMERVILLE AVE,SUMMER ST,762783.81,2965777.52,6/5/2009,11/14/2009,Brad Arndt,7084,4825
Acer campestre,4,1,Fair,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"12 WOODBINE ST Front  1",WOODBINE ST,LOWELL ST,CENTRE ST,762826.34,2967868.16,6/10/2009,11/14/2009,Brad Arndt,1415,5499
Acer campestre,4,1,Poor,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Open or Unrestricted,5,AD,Good,Yes,"16 CENTRE ST Front  1",CENTRE ST,WOODBINE ST,ALBION ST,763010.88,2967763.28,6/10/2009,11/14/2009,Brad Arndt,1417,5501
Acer campestre,5,1,Fair,No,No,0 - 25,1 to 4,5,Low,Frequent,Maintain,Yes,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"95 BEACON ST Front  1",BEACON ST,CALVIN ST,BEACON PL,762892.41,2962749.93,5/21/2009,11/14/2009,Brad Arndt,5165,1493
Acer campestre,5,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,5,AD,Good,No,"30 AMES ST Side  1",MINER ST,AMES ST,VERNON ST,763602.8,2968230.99,6/9/2009,11/14/2009,Brad Arndt,1259,3515
Acer campestre,6,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"10 LINCOLN ST Front  1",LINCOLN ST,LINCOLN AVE,BROADWAY,769384.49,2966091.51,6/1/2009,11/14/2009,Brad Arndt,21,2317
Acer campestre,6,1,Fair,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"14 LINCOLN ST Front  1",LINCOLN ST,LINCOLN AVE,BROADWAY,769354.16,2966013.45,6/1/2009,11/14/2009,Brad Arndt,19,2315
Acer campestre,6,1,Fair,Yes,No,0 - 25,4 to 20,6,Moderate,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"15 CONCORD AVE Front  1",CONCORD AVE,PROSPECT ST,NEWTON ST,765154.81,2962597.82,5/20/2009,11/14/2009,Brad Arndt,4969,1310
Acer campestre,6,1,Poor,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"22 LINCOLN ST Front  1",LINCOLN ST,PERKINS ST,LINCOLN AVE,769309.03,2965892.15,6/2/2009,11/14/2009,Brad Arndt,69,2364
Acer campestre,7,1,Good,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"92 PERKINS ST Front  2",PERKINS ST,PINCKNEY ST,MT VERNON ST,769550.48,2965526.91,6/2/2009,11/14/2009,Brad Arndt,265,2557
Acer campestre,7,1,Good,No,No,0 - 25,1 to 4,5,Low,Intermittent,Maintain,Yes,No,No,Avg. Species or Mod. Strength,No,No,Yes,Tree Pit or Planter,4,RG,Good,No,"4 ESSEX ST Front  1",ESSEX ST,MEDFORD ST,RICHDALE AVE,764675.81,2967225.57,5/14/2009,11/4/2009,Brad Arndt,3873,298
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"16 CENTRE ST Side  1",WOODBINE ST,LOWELL ST,CENTRE ST,762999.84,2967786.15,6/10/2009,11/14/2009,Brad Arndt,1416,5500
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"92 PERKINS ST Front  1",PERKINS ST,PINCKNEY ST,MT VERNON ST,769510.53,2965544.84,6/2/2009,11/14/2009,Brad Arndt,264,2555
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"129 HUDSON ST Front  1",HUDSON ST,LOWELL ST,CEDAR ST,761691.78,2967965.41,6/10/2009,11/14/2009,Brad Arndt,1621,5687
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,RG,Good,Yes,"51 CHESTER ST Front  1",CHESTER ST,HERBERT ST,CHESTER PLACE,758104.57,2969149.39,6/11/2009,11/14/2009,Brad Arndt,8318,8006
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,4,RG,Good,No,"113 TEN HILLS RD Front  1",TEN HILLS RD,MELVILLE RD,CREST HILL RD,767770.83,2970449.69,5/26/2009,11/14/2009,Brad Arndt,5638,1957
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"60 MYRTLE ST Front  1",MYRTLE ST,PEARL ST,WASHINGTON ST,768613.35,2965182.48,6/3/2009,11/14/2009,Brad Arndt,512,2794
Acer campestre,7,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"66 MYRTLE ST Front  1",MYRTLE ST,PEARL ST,WASHINGTON ST,768654.41,2965266.65,6/3/2009,11/14/2009,Brad Arndt,511,2793
Acer campestre,7,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,AD,Good,No,"56 CURTIS ST Front  1",CURTIS ST,POWDER HOUSE BOULEVARD,WARE ST,757156.53,2972898.18,6/19/2009,11/14/2009,Brad Arndt,3385,7409
Acer campestre,7,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,Yes,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"345 LOWELL ST Front  1",LOWELL ST,VERNON ST,MEDFORD ST,763071.43,2969402.39,6/9/2009,11/14/2009,Brad Arndt,1367,3620
Acer campestre,7,1,Fair,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"37 ALBION ST Side  1",CENTRE ST,ALBION ST,WOODBINE ST,762969.87,2967600.03,6/10/2009,11/14/2009,Brad Arndt,1414,5498
Acer campestre,7,1,Fair,No,No,0 - 25,1 to 4,5,Moderate,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,4,RG,Good,No,"41 MEACHAM ST Front  1",MEACHAM ST,MORELAND ST,FREMONT AVE,764874.55,2970389.52,6/5/2009,11/14/2009,Brad Arndt,6876,4490
Acer campestre,7,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,AD,Fair,No,"21 LINCOLN ST Front  1",LINCOLN ST,ARLINGTON ST,PERKINS ST,769251.54,2965823.47,6/1/2009,11/14/2009,Brad Arndt,62,2358
Acer campestre,7,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,Yes,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"24 DIMICK ST Front  1",DIMICK ST,BUCKINGHAM ST,HAROLD ST,763606.52,2962414.68,5/21/2009,11/14/2009,Brad Arndt,5147,1475
Acer campestre,7,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,RG,Good,No,"7 GILMAN TER Front  1",GILMAN TER,PEARL ST,DEAD END,766319.93,2966476.4,6/3/2009,11/14/2009,Brad Arndt,6407,4021
Acer campestre,7,1,Fair,No,Yes,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"8 ELLSWORTH ST Front  1",ELLSWORTH ST,CROSS ST,RUSH ST,767888.01,2966267.86,6/3/2009,11/14/2009,Brad Arndt,404,2687
Acer campestre,7,1,Fair,Yes,No,None,4 to 20,5,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,1,RG,Good,No,"100 X WALNUT ST Front  1",WALNUT ST,PEARL ST,MEDFORD ST,766017.37,2966280.64,6/3/2009,11/14/2009,Brad Arndt,6493,4107
Acer campestre,7,1,Poor,No,No,26 - 50,1 to 4,5,Moderate,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"76 PERKINS ST Front  1",PERKINS ST,MT VERNON AVE,MT PLEASANT ST,769760.56,2965433.44,6/2/2009,11/14/2009,Brad Arndt,74,2370
Acer campestre,8,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,4,RG,Good,No,"47 FREMONT ST Side  3",MEACHAM ST,FREMONT ST,MORELAND ST,764850.69,2970366.46,6/5/2009,11/14/2009,Brad Arndt,6836,4450
Acer campestre,8,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,4,RG,Good,No,"60 MORELAND ST Side  1",MEACHAM ST,MORELAND ST,FREMONT AVE,764971.49,2970323.5,6/5/2009,11/14/2009,Brad Arndt,6875,4489
Acer campestre,8,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,6,AD,Good,No,"51 FOSKET ST Front  1",FOSKET ST,BAY STATE AVE,LIBERTY AVE,759613.24,2970188.04,6/15/2009,11/14/2009,Brad Arndt,2382,6437
Acer campestre,8,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"58 MYRTLE ST Front  1",MYRTLE ST,PEARL ST,WASHINGTON ST,768595.9,2965146.55,6/3/2009,11/14/2009,Brad Arndt,513,2796
Acer campestre,8,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"22 DIMICK ST Front  1",DIMICK ST,BUCKINGHAM ST,HAROLD ST,763635.92,2962383.86,5/21/2009,11/14/2009,Brad Arndt,5148,1476
Acer campestre,8,1,Good,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,Yes,Durable Species,No,No,No,Tree Pit or Planter,1,AD,Good,No,"69 PEARL ST Front  1",PEARL ST,MYRTLE ST,FRANKLIN ST,768551.68,2965436.38,6/3/2009,11/14/2009,Brad Arndt,326,2608
Acer campestre,8,1,Fair,Yes,No,None,4 to 20,5,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"12 HAMMOND ST Front  1",HAMMOND ST,DICKINSON ST,CONCORD AVE,763906.58,2962041.06,5/20/2009,11/14/2009,Brad Arndt,5093,1421
Acer campestre,8,1,Poor,No,No,0 - 25,1 to 4,5,Moderate,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"14 DIMICK ST Front  1",DIMICK ST,HAROLD ST,CONCORD AVE,763671.96,2962346.4,5/21/2009,11/14/2009,Brad Arndt,5149,1477
Acer campestre,8,1,Poor,No,No,51 - 75,1 to 4,5,Moderate,Intermittent,Maintain,Yes,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"76 PERKINS ST Front  2",PERKINS ST,MT VERNON AVE,MT PLEASANT ST,769782.26,2965422.91,6/2/2009,11/14/2009,Brad Arndt,75,2371
Acer campestre,9,1,Good,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"41 MT PLEASANT ST Front  1",MT PLEASANT ST,BROADWAY,PERKINS ST,769918.02,2965504.73,6/2/2009,11/14/2009,Brad Arndt,85,2381
Acer campestre,9,1,Good,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"35 PINCKNEY ST Front  1",PINCKNEY ST,PINCKNEY PLACE,PEARL ST,769083.57,2965061.21,6/3/2009,11/14/2009,Brad Arndt,293,2585
Acer campestre,9,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"33 X PINCKNEY ST Front  1",PINCKNEY ST,PINCKNEY PLACE,PEARL ST,769060.45,2965018.82,6/3/2009,11/14/2009,Brad Arndt,292,2584
Acer campestre,9,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,4,RG,Good,No,"70 MORELAND ST Front  1",MORELAND ST,EAST ALBION ST,MEACHAM ST,765079.19,2970423.71,6/5/2009,11/14/2009,Brad Arndt,6873,4487
Acer campestre,9,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"29 BOLTON ST Front  1",BOLTON ST,OAK ST,HOUGHTON ST,764737.18,2961954.9,5/20/2009,11/14/2009,Brad Arndt,5048,1376
Acer campestre,9,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,Yes,Yes,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,Yes,"74 RUSH ST Front  1",RUSH ST,FLINT ST,PEARL ST,767652.66,2965506.2,6/3/2009,11/14/2009,Brad Arndt,453,2736
Acer campestre,9,1,Fair,Yes,No,0 - 25,1 to 4,5,Moderate,Intermittent,Maintain,Yes,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,2,RG,Good,No,"96 CONCORD AVE Side  1",HAMMOND ST,DICKINSON ST,CONCORD AVE,763819.72,2962136.52,5/20/2009,11/14/2009,Brad Arndt,5095,1423
Acer campestre,9,1,Fair,Yes,No,None,4 to 20,5,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"50 WATERHOUSE ST Front  1",WATERHOUSE ST,WOODSTOCK ST,BROADWAY,755244.19,2972656.94,6/13/2009,11/14/2009,Brad Arndt,8653,8334
Acer campestre,11,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,Yes,Durable Species,No,No,Yes,Tree Pit or Planter,1,AD,Good,No,"116 PERKINS ST Front  2",PERKINS ST,FLORENCE ST,PINCKNEY ST,769227.61,2965656.54,6/2/2009,11/14/2009,Brad Arndt,259,2551
Acer campestre,24,1,Fair,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Above 4,5,AD,Good,No,"87 HIGHLAND RD Front  1",HIGHLAND RD,KIDDER AVE,BOSTON AVE,760996.4,2970046.29,6/11/2009,11/14/2009,Brad Arndt,1866,5928
Acer negundo,3,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Good,No,"15 X ROBERTS ST Front  3",ROBERTS ST,HINCKLEY ST,DEAD END,762379.48,2969611.16,6/10/2009,11/14/2009,Brad Arndt,1489,5814
Acer negundo,3,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Remove,No,No,No,Durable Species,No,No,Yes,Open or Unrestricted,5,AD,Fair,No,"15 X ROBERTS ST Front  5",ROBERTS ST,HINCKLEY ST,DEAD END,762378.07,2969604.4,6/10/2009,11/14/2009,Brad Arndt,1491,5818
Acer negundo,10,2,Poor,Yes,No,0 - 25,4 to 20,8,High,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  16",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754963.45,2973045.1,6/17/2009,11/14/2009,Brad Arndt,9267,8906
Acer negundo,12,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Fair,No,"55 X ALEWIFE BROOK PARKWAY Front  25",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,755060.94,2973339.87,6/17/2009,11/14/2009,Brad Arndt,9276,8914
Acer negundo,14,1,Poor,Yes,No,0 - 25,4 to 20,8,High,Frequent,Remove,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  6",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754965.17,2972784.74,6/17/2009,11/14/2009,Brad Arndt,9257,8898
Acer negundo,15,2,Poor,Yes,No,0 - 25,1 to 4,6,Moderate,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  8",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754965.74,2972801.94,6/17/2009,11/14/2009,Brad Arndt,9259,8900
Acer negundo,15,3,Fair,No,No,0 - 25,1 to 4,6,Moderate,Frequent,Maintain,Yes,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  7",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754965.17,2972795.06,6/17/2009,11/14/2009,Brad Arndt,9258,8899
Acer negundo,17,1,Fair,No,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  5",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754967.46,2972775.56,6/17/2009,11/14/2009,Brad Arndt,9256,8897
Acer negundo,17,2,Poor,Yes,No,26 - 50,4 to 20,8,High,Frequent,Remove,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  23",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,755037.43,2973301.44,6/17/2009,11/14/2009,Brad Arndt,9274,8912
Acer negundo,18,1,Poor,Yes,No,0 - 25,4 to 20,9,Extremely High,Frequent,Remove,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  4",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754968.61,2972767.54,6/17/2009,11/14/2009,Brad Arndt,9255,8896
Acer platanoides,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"20 CYPRESS ST Front  1",CYPRESS ST,BEECH ST,CENTRAL ST,762194.52,2965187.34,6/8/2009,11/14/2009,Brad Arndt,7300,5337
Acer platanoides,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"77 WOODS AVE Front  1",WOODS AVE,NORTH ST,ALEWIFE BROOK PARKWAY,756089.14,2975609.97,6/16/2009,11/14/2009,Brad Arndt,9051,8859
